Date,Price
2018-08-23,175.94
2018-08-24,175.28
2018-08-26,175.28
2018-08-27,175.28
2018-08-28,175.2
2018-08-29,172.94
2018-08-30,167.52
2018-08-31,164.5
2018-09-01,164.5
2018-09-02,164.5
2018-09-03,166.54
2018-09-04,164.3
2018-09-05,162.9
2018-09-06,164.0
2018-09-07,165.26
2018-09-08,165.26
2018-09-09,165.26
2018-09-10,165.7
2018-09-11,166.2
2018-09-12,166.58
2018-09-13,168.28
2018-09-14,167.44
2018-09-15,167.44
2018-09-16,175.19
2018-09-17,168.08
2018-09-18,168.92
2018-09-19,168.82
2018-09-20,168.06
2018-09-21,170.94
2018-09-22,170.94
2018-09-23,170.94
2018-09-24,170.0
2018-09-25,168.74
2018-09-26,166.94
2018-09-27,168.14
2018-09-28,164.5
2018-09-29,164.5
2018-09-30,164.5
2018-10-01,162.0
2018-10-02,159.88
2018-10-03,162.48
2018-10-04,162.14
2018-10-05,160.22
2018-10-06,160.22
2018-10-07,160.22
2018-10-08,154.58
2018-10-09,150.72
2018-10-10,153.0
2018-10-11,150.98
2018-10-12,151.0
2018-10-13,151.0
2018-10-14,151.0
2018-10-15,153.6
2018-10-16,153.4
2018-10-17,152.04
2018-10-18,151.5
2018-10-19,152.46
2018-10-20,152.46
2018-10-21,152.46
2018-10-22,149.56
2018-10-23,146.24
2018-10-24,146.42
2018-10-25,146.6
2018-10-26,144.04
2018-10-27,144.04
2018-10-28,144.04
2018-10-29,147.28
2018-10-30,147.06
2018-10-31,147.82
2018-11-01,151.5
2018-11-02,150.52
2018-11-03,150.52
2018-11-04,150.52
2018-11-05,150.4
2018-11-06,146.28
2018-11-07,147.88
2018-11-08,147.08
2018-11-09,143.92
2018-11-11,343.92
2018-11-12,344.36
2018-11-13,355.6
2018-11-14,357.56
2018-11-15,355.4
2018-11-16,353.4
2018-11-17,353.4
2018-11-18,353.4
2018-11-19,355.82
2018-11-20,353.62
2018-11-21,358.04
2018-11-22,352.0
2018-11-23,355.12
2018-11-24,355.12
2018-11-25,355.12
2018-11-26,364.82
2018-11-27,367.8
2018-11-28,368.68
2018-11-29,367.76
2018-11-30,368.94
2018-12-01,368.94
2018-12-02,368.94
2018-12-04,365.14
2018-12-05,363.0
2018-12-06,360.46
2018-12-07,362.78
2018-12-08,362.78
2018-12-09,362.78
2018-12-10,359.32
2018-12-11,362.5
2018-12-12,363.1
2018-12-13,360.48
2018-12-14,360.68
2018-12-15,360.68
2018-12-16,360.68
2018-12-17,360.7
2018-12-18,357.86
2018-12-19,359.46
2018-12-20,359.96
2018-12-21,356.74
2018-12-22,356.74
2018-12-23,356.74
2018-12-24,354.5
2018-12-25,354.5
2018-12-26,354.5
2018-12-27,351.52
2018-12-29,354.58
2018-12-30,354.58
2018-12-31,352.9
2019-01-01,352.9
2019-01-02,354.94
2019-01-03,356.06
2019-01-04,357.98
2019-01-06,357.98
2019-01-07,357.4
2019-01-08,355.6
2019-01-09,352.8
2019-01-10,353.74
2019-01-11,352.84
2019-01-12,352.84
2019-01-13,352.84
2019-01-14,349.2
2019-01-15,348.64
2019-01-16,348.2
2019-01-17,348.32
2019-01-18,349.34
2019-01-19,349.34
2019-01-20,349.34
2019-01-21,349.16
2019-01-22,348.16
2019-01-23,349.26
2019-01-24,344.04
2019-01-25,337.0
2019-01-26,337.0
2019-01-27,337.0
2019-01-28,335.44
2019-01-29,335.08
2019-01-30,336.7
2019-01-31,338.58
2019-02-01,338.84
2019-02-02,338.84
2019-02-03,338.84
2019-02-04,338.1
2019-02-05,341.06
2019-02-06,342.4
2019-02-07,339.38
2019-02-08,338.68
2019-02-11,341.1
2019-02-12,339.64
2019-02-13,339.36
2019-02-14,339.64
2019-02-15,341.2
2019-02-16,341.2
2019-02-17,341.2
2019-02-18,342.14
2019-02-19,341.5
2019-02-20,342.38
2019-02-21,341.2
2019-02-22,341.8
2019-02-23,341.8
2019-02-24,341.8
2019-02-25,339.6
2019-02-26,336.6
2019-02-27,333.6
2019-02-28,334.28
2019-03-01,334.24
2019-03-02,334.24
2019-03-03,334.24
2019-03-04,331.36
2019-03-05,333.98
2019-03-06,333.96
2019-03-07,335.62
2019-03-08,336.8
2019-03-09,336.8
2019-03-10,336.8
2019-03-11,338.96
2019-03-12,339.4
2019-03-13,339.4
2019-03-14,340.16
2019-03-16,343.56
2019-03-17,343.56
2019-03-18,344.16
2019-03-19,345.58
2019-03-20,345.54
2019-03-21,346.76
2019-03-22,344.26
2019-03-23,344.26
2019-03-24,344.26
2019-03-25,341.68
2019-03-26,342.34
2019-03-27,340.8
2019-03-28,338.76
2019-03-29,339.8
2019-03-30,339.8
2019-03-31,339.8
2019-04-01,341.88
2019-04-02,342.2
2019-04-03,343.68
2019-04-04,344.46
2019-04-05,341.34
2019-04-06,341.34
2019-04-07,341.34
2019-04-08,340.56
2019-04-09,340.52
2019-04-10,339.84
2019-04-11,338.1
2019-04-12,340.54
2019-04-13,340.54
2019-04-14,340.54
2019-04-15,342.5
2019-04-16,342.6
2019-04-17,343.72
2019-04-18,342.56
2019-04-19,342.56
2019-04-20,342.56
2019-04-21,342.56
2019-04-22,342.56
2019-04-23,341.62
2019-04-24,339.86
2019-04-25,339.62
2019-04-26,341.92
2019-04-27,341.92
2019-04-28,341.92
2019-04-29,343.36
2019-04-30,342.0
2019-05-01,341.14
2019-05-02,341.04
2019-05-03,340.06
2019-05-04,340.06
2019-05-05,340.06
2019-05-06,340.06
2019-05-07,340.0
2019-05-08,340.1
2019-05-09,338.5
2019-05-10,339.0
2019-05-11,339.0
2019-05-13,331.78
2019-05-14,326.84
2019-05-15,326.0
2019-05-16,324.86
2019-05-17,324.28
2019-05-18,324.28
2019-05-19,324.28
2019-05-20,326.4
2019-05-21,326.02
2019-05-22,325.66
2019-05-23,323.32
2019-05-24,326.1
2019-05-25,326.1
2019-05-26,326.1
2019-05-27,326.1
2019-05-28,327.12
2019-05-29,329.3
2019-05-30,329.94
2019-05-31,329.42
2019-06-01,329.42
2019-06-02,329.42
2019-06-03,329.96
2019-06-04,333.68
2019-06-05,333.1
2019-06-06,327.98
2019-06-07,329.9
2019-06-08,329.9
2019-06-09,329.9
2019-06-10,330.4
2019-06-11,330.18
2019-06-12,329.34
2019-06-13,329.04
2019-06-14,328.02
2019-06-15,328.02
2019-06-16,328.02
2019-06-17,327.46
2019-06-18,329.18
2019-06-19,327.2
2019-06-20,328.34
2019-06-21,326.9
2019-06-22,326.9
2019-06-23,326.9
2019-06-24,326.24
2019-06-25,324.24
2019-06-26,325.76
2019-06-27,328.66
2019-06-28,329.32
2019-06-29,329.32
2019-06-30,329.32
2019-07-01,327.94
2019-07-02,328.76
2019-07-03,331.42
2019-07-04,332.92
2019-07-05,334.64
2019-07-07,334.64
2019-07-08,333.78
2019-07-09,333.82
2019-07-11,332.5
2019-07-12,331.74
2019-07-13,331.74
2019-07-14,331.74
2019-07-15,330.2
